Amplifier,Clean Accuracy,Clean Fairness,Corrupt Accuracy,Corrupt Fairness
2,0.78,0.4925186266694024,0.8,0.5498200831717717
4,0.78,0.4925186266694024,0.79,0.7049519457963246
8,0.78,0.4925186266694024,0.69,0.8889994682874754
16,0.78,0.4925186266694024,0.61,0.9525177930431576
32,0.78,0.4925186266694024,0.47,0.9562445080603919
64,0.78,0.4925186266694024,0.39,0.9496669796459282
128,0.78,0.4925186266694024,0.39,0.9451799740734166
256,0.78,0.4925186266694024,0.39,0.9437667099621857
